Feature
1,ENSMUSG00000110727
2,ENSMUSG00000086773
3,ENSMUSG00000117007
4,ENSMUSG00000086193
5,ENSMUSG00000100000
6,ENSMUSG00000115961
7,ENSMUSG00000061531
8,ENSMUSG00000035394
9,ENSMUSG00000115509
10,ENSMUSG00000086527
11,ENSMUSG00000101009
12,ENSMUSG00000052295
13,ENSMUSG00000074737
14,ENSMUSG00000114715
15,ENSMUSG00000020395
16,ENSMUSG00000025727
17,ENSMUSG00000051599
18,ENSMUSG00000108832
19,ENSMUSG00000104367
20,ENSMUSG00000087586
21,ENSMUSG00000067028
22,ENSMUSG00000027225
23,ENSMUSG00000070489
24,ENSMUSG00000109841
25,ENSMUSG00000072573
26,ENSMUSG00000105224
27,ENSMUSG00000085278
28,ENSMUSG00000047911
29,ENSMUSG00000059280
30,ENSMUSG00000085495
31,ENSMUSG00000107164
32,ENSMUSG00000089718
33,ENSMUSG00000101768
34,ENSMUSG00000073016
35,ENSMUSG00000044361
36,ENSMUSG00000093553
37,ENSMUSG00000038925
38,ENSMUSG00000020722
39,ENSMUSG00000039391
40,ENSMUSG00000108949
41,ENSMUSG00000110162
42,ENSMUSG00000109868
43,ENSMUSG00000086845
44,ENSMUSG00000110862
45,ENSMUSG00000033409
46,ENSMUSG00000106311
47,ENSMUSG00000110697
48,ENSMUSG00000114452
49,ENSMUSG00000118234
50,ENSMUSG00000115821
51,ENSMUSG00000074028
52,ENSMUSG00000078796
53,ENSMUSG00000102046
54,ENSMUSG00000114220
55,ENSMUSG00000107859
56,ENSMUSG00000099895
57,ENSMUSG00000087142
58,ENSMUSG00000046295
59,ENSMUSG00000026459
60,ENSMUSG00000109890
61,ENSMUSG00000026354
62,ENSMUSG00000104399
63,ENSMUSG00000116819
64,ENSMUSG00000116555
65,ENSMUSG00000090071
66,ENSMUSG00000001583
67,ENSMUSG00000103971
68,ENSMUSG00000056812
69,ENSMUSG00000097476
70,ENSMUSG00000079304
71,ENSMUSG00000039238
72,ENSMUSG00000034329
73,ENSMUSG00000118094
74,ENSMUSG00000078612
75,ENSMUSG00000091243
76,ENSMUSG00000104835
77,ENSMUSG00000086279
78,ENSMUSG00000085739
79,ENSMUSG00000022286
80,ENSMUSG00000010054
81,ENSMUSG00000019102
82,ENSMUSG00000046523
83,ENSMUSG00000026974
84,ENSMUSG00000110489
85,ENSMUSG00000042590
86,ENSMUSG00000020651
87,ENSMUSG00000019894
88,ENSMUSG00000028778
89,ENSMUSG00000022441
90,ENSMUSG00000042035
91,ENSMUSG00000025429
92,ENSMUSG00000029491
93,ENSMUSG00000113136
94,ENSMUSG00000031224
95,ENSMUSG00000024583
96,ENSMUSG00000054978
97,ENSMUSG00000021066
98,ENSMUSG00000038764
99,ENSMUSG00000089737
100,ENSMUSG00000079055
101,ENSMUSG00000040415
102,ENSMUSG00000024120
103,ENSMUSG00000022525
104,ENSMUSG00000035246
105,ENSMUSG00000001988
106,ENSMUSG00000030313
107,ENSMUSG00000064225
108,ENSMUSG00000031554
109,ENSMUSG00000047798
110,ENSMUSG00000031155
111,ENSMUSG00000079614
112,ENSMUSG00000115591
113,ENSMUSG00000086603
114,ENSMUSG00000048988
115,ENSMUSG00000036158
116,ENSMUSG00000024259
117,ENSMUSG00000032309
118,ENSMUSG00000047897
119,ENSMUSG00000031394
120,ENSMUSG00000060679
121,ENSMUSG00000044835
122,ENSMUSG00000086386
123,ENSMUSG00000050705
124,ENSMUSG00000028347
125,ENSMUSG00000058126
126,ENSMUSG00000025938
127,ENSMUSG00000011632
128,ENSMUSG00000031691
129,ENSMUSG00000001270
130,ENSMUSG00000020912
131,ENSMUSG00000002409
132,ENSMUSG00000031818
133,ENSMUSG00000038957
134,ENSMUSG00000031362
135,ENSMUSG00000003099
136,ENSMUSG00000057715
137,ENSMUSG00000015671
138,ENSMUSG00000027016
139,ENSMUSG00000056032
140,ENSMUSG00000051934
141,ENSMUSG00000024359
142,ENSMUSG00000026087
143,ENSMUSG00000049504
144,ENSMUSG00000020198
145,ENSMUSG00000021901
146,ENSMUSG00000050107
147,ENSMUSG00000031904
148,ENSMUSG00000057182
149,ENSMUSG00000045427
150,ENSMUSG00000072572
151,ENSMUSG00000048905
152,ENSMUSG00000042082
153,ENSMUSG00000024548
154,ENSMUSG00000058669
155,ENSMUSG00000100775
156,ENSMUSG00000019718
157,ENSMUSG00000020366
158,ENSMUSG00000004207
159,ENSMUSG00000030209
160,ENSMUSG00000026259
161,ENSMUSG00000063412
162,ENSMUSG00000036186
163,ENSMUSG00000028033
164,ENSMUSG00000090066
165,ENSMUSG00000075478
166,ENSMUSG00000054000
167,ENSMUSG00000071553
168,ENSMUSG00000048355
169,ENSMUSG00000045948
170,ENSMUSG00000045659
171,ENSMUSG00000016262
172,ENSMUSG00000104093
173,ENSMUSG00000047248
174,ENSMUSG00000035885
