Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.015029645473270107,0.6736004420380457,0.7499770314953758,0.0083434323097217,-0.7175264859542567,0.5845200607566486,0.014400543355706627,1.1824736004026413,1.0
ENSMUSG00000089699,Gm1992,0.0,-0.8409727307917141,1.0,0.0,-0.8430573680381173,1.0,0.014400543355706627,5.089364196011161,0.3826971171730607
ENSMUSG00000102331,Gm19938,0.043418975811669196,1.2134750532306633,0.12612517098942533,0.01334949169555472,-1.6273286769826791,0.02518610568209486,0.05760217342282651,1.2820092739535562,0.7183737249159822
ENSMUSG00000025902,Sox17,0.14695653351641882,1.4648356987323723,0.00020683405177220664,0.036711102162775476,-1.991920753952599,6.332010766159194e-07,0.18720706362418615,1.1023032517186584,0.4440733292962576
ENSMUSG00000033845,Mrpl15,0.7848814858263278,-0.13880901916816674,0.7630140912999381,0.8793977654446671,0.17343075475045278,0.6382966544783397,0.734427711141038,-0.17309209118500796,1.0
ENSMUSG00000025903,Lypla1,0.9034486890043475,1.202257321269856,6.367362148577933e-07,0.35376152993220006,-1.3178011134412277,5.173071096280805e-08,0.7200271677853314,0.20336882471399154,1.0
ENSMUSG00000033813,Tcea1,0.9819368375869802,-0.0879975523366889,0.8824975761282399,1.031248233481602,0.04487583053468756,0.9751037956907858,1.1520434684565302,0.19200423814076342,1.0
ENSMUSG00000002459,Rgs20,0.17200594263853566,0.8370991743209246,0.028177356751330606,0.0967838147927717,-0.7417740322009347,0.04440717563126954,0.08640326013423977,-0.44313088481586016,1.0
ENSMUSG00000033793,Atp6v1h,1.1305633317115402,0.26496071395735177,0.4772227867154797,0.9795189531613275,-0.13523811953142648,0.736070283375402,0.6048228209396783,-0.7892927188684141,0.7043868600822027
ENSMUSG00000025905,Oprk1,0.04675889702795144,2.695080169448496,0.0008452986791765142,0.00333737292388868,-3.212291177703835,0.00022673375131462495,0.028801086711413255,0.7201303863454411,1.0
ENSMUSG00000025907,Rb1cc1,0.7548221948797875,0.031109794287549897,1.0,0.7475715349510642,0.004618261365770371,1.0,0.6624249943625049,-0.17143024812474073,1.0
ENSMUSG00000090031,4732440D04Rik,0.02337944851397572,0.0659178648168055,1.0,0.023361610467220757,0.06383322757040233,1.0,0.014400543355706627,0.2313832008835881,1.0
ENSMUSG00000087247,Alkal1,0.018369566689552353,2.743989769929442,0.022277375508246062,0.00166868646194434,-2.4280198687592724,0.03961861173384142,0.0,0.38892447787006823,1.0
ENSMUSG00000033740,St18,0.013359684865128984,-0.5779383249579197,0.7444309413987169,0.021692924005276417,0.6423694591321256,0.5656991194352146,0.014400543355706627,0.6299325773738627,1.0
